MODEL turn-by-turn — Spider-13 — threshold mode (>50% lands), seed=null — LOSS in 364t
team maxHP:  Ezio=17.5k  Vergis=16.8k  Bambus=26.0k  Pelops=29.8k  Tagoar=25.3k
====================================================================================================================================
Turn | Actor  | Skill                          | bossHP | spdr |    Ezio  Vergis  Bambus  Pelops  Tagoar
 283 | Tagoar | A1                             |   951k |    9 |    8.8k    DEAD   16.4k   29.8k   22.5k
 284 | Sp101  | basic attack                   |   951k |    9 |    7.9k    DEAD   16.4k   29.8k   22.5k
 285 | Sp102  | basic attack                   |   951k |    9 |    6.5k    DEAD   16.4k   29.8k   22.5k
 286 | Sp103  | basic attack                   |   951k |    9 |    5.1k    DEAD   16.4k   29.8k   22.5k
 287 | Sp104  | basic attack                   |   951k |    9 |    3.7k    DEAD   16.4k   29.8k   22.5k
 288 | Sp105  | basic attack                   |   951k |    9 |    2.3k    DEAD   16.4k   29.8k   22.5k
 289 | Bambus | A3                             |   951k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 290 | Pelops | A3                             |   951k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 291 | Sp106  | basic attack                   |   951k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 292 | Sp107  | basic attack                   |   951k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 293 | Sp108  | basic attack                   |   951k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 294 | Sp109  | basic attack                   |   951k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 295 | Tagoar | A1                             |   951k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 296 | Ezio   | A3                             |   951k |    9 |    2.3k    DEAD   20.3k   29.8k   22.5k
 297 | Bambus | A2                             |   948k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 298 | Sp102  | basic attack                   |   948k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 299 | Sp103  | basic attack                   |   948k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 300 | Sp104  | basic attack                   |   948k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 301 | Sp105  | basic attack                   |   948k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 302 | Sp110  | basic attack                   |   948k |   10 |    2.3k    DEAD   20.3k   29.8k   22.5k
 303 | Skavag | (boss turn)                    |   889k |   10 |    2.3k    DEAD   20.3k   23.7k   22.5k
 304 | Pelops | A1                             |   889k |    9 |    2.3k    DEAD   20.3k   24.6k   22.5k
 305 | Sp106  | basic attack                   |   857k |    9 |    2.3k    DEAD   20.3k   23.4k   22.5k
 306 | Sp107  | basic attack                   |   825k |    9 |    2.3k    DEAD   20.3k   22.2k   22.5k
 307 | Sp108  | basic attack                   |   793k |    9 |    2.3k    DEAD   20.3k   21.1k   22.5k
 308 | Sp109  | basic attack                   |   762k |    9 |    2.3k    DEAD   20.3k   19.9k   22.5k
 309 | Tagoar | A1                             |   762k |    9 |    2.3k    DEAD   20.3k   19.9k   22.5k
 310 | Bambus | A1                             |   760k |    8 |    2.3k    DEAD   20.3k   19.9k   22.5k
 311 | Ezio   | A1                             |   760k |   10 |    2.3k    DEAD   20.3k   19.9k   22.5k
 312 | Sp111  | basic attack                   |   760k |   10 |    2.3k    DEAD   20.3k   18.2k   22.5k
 313 | Sp110  | basic attack                   |   728k |   10 |    2.3k    DEAD   20.3k   17.0k   22.5k
 314 | Pelops | A2                             |   728k |    9 |    2.3k    DEAD   20.3k   20.0k   22.5k
 315 | Bambus | A1                             |   726k |   10 |    2.3k    DEAD   20.3k   20.0k   22.5k
 316 | Tagoar | A2                             |   724k |   10 |    6.1k    DEAD   24.1k   23.8k   25.3k
 317 | Ezio   | A2                             |   704k |    5 |    6.1k    DEAD   24.1k   23.8k   25.3k
 318 | Sp114  | basic attack                   |   704k |    5 |    6.1k    DEAD   24.1k   23.8k   25.3k
 319 | Sp115  | basic attack                   |   704k |    5 |    6.1k    DEAD   24.1k   23.8k   25.3k
 320 | Sp112  | basic attack                   |   704k |    5 |    6.1k    DEAD   24.1k   23.8k   25.3k
 321 | Bambus | A3                             |   704k |    7 |    6.1k    DEAD   24.1k   23.8k   25.3k
 322 | Pelops | A1                             |   704k |    8 |    6.1k    DEAD   24.1k   24.7k   25.3k
 323 | Tagoar | A3                             |   704k |   10 |    6.1k    5.1k   24.1k   24.7k   25.3k
 324 | Sp113  | basic attack                   |   704k |   10 |    6.1k    5.1k   24.1k   24.7k   25.3k
 325 | Skavag | (boss turn)                    |   992k |    4 |    DEAD    DEAD   11.0k   16.0k   12.2k
 326 | Bambus | A2                             |   989k |    6 |    DEAD    DEAD   11.0k   16.0k   12.2k
 327 | Pelops | A3                             |   989k |    8 |    DEAD    DEAD   11.0k   16.0k   12.2k
 328 | Tagoar | A1                             |   989k |   10 |    DEAD    DEAD   11.0k   16.0k   12.2k
 329 | Bambus | A1                             |   989k |   10 |    DEAD    DEAD   11.0k   16.0k   12.2k
 330 | Sp124  | basic attack                   |   989k |   10 |    DEAD    DEAD   11.0k   16.0k   12.2k
 331 | Sp125  | basic attack                   |   989k |   10 |    DEAD    DEAD   11.0k   16.0k   12.2k
 332 | Sp126  | basic attack                   |   989k |   10 |    DEAD    DEAD   11.0k   16.0k   12.2k
 333 | Sp123  | basic attack                   |   989k |   10 |    DEAD    DEAD   11.0k   16.0k   12.2k
 334 | Pelops | A1                             |   989k |   10 |    DEAD    DEAD   11.0k   17.0k   12.2k
 335 | Sp127  | basic attack                   |   989k |   10 |    DEAD    DEAD   11.0k   16.3k   12.2k
 336 | Sp128  | basic attack                   |   989k |   10 |    DEAD    DEAD   11.0k   14.6k   12.2k
 337 | Sp129  | basic attack                   |   989k |   10 |    DEAD    DEAD   11.0k   13.0k   12.2k
 338 | Sp130  | basic attack                   |   989k |   10 |    DEAD    DEAD   11.0k   11.5k   12.2k
 339 | Tagoar | A1                             |   989k |   10 |    DEAD    DEAD   11.0k   11.5k   12.2k
 340 | Sp131  | basic attack                   |   989k |   10 |    DEAD    DEAD   11.0k   11.5k   12.2k
 341 | Sp132  | basic attack                   |   989k |   10 |    DEAD    DEAD   11.0k   11.5k   12.2k
 342 | Bambus | A1                             |   987k |   10 |    DEAD    DEAD   11.0k   11.5k   12.2k
 343 | Sp124  | basic attack                   |   955k |   10 |    DEAD    DEAD   11.0k   11.5k   12.2k
 344 | Sp125  | basic attack                   |   923k |   10 |    DEAD    DEAD   11.0k   11.5k   12.2k
 345 | Sp126  | basic attack                   |   891k |   10 |    DEAD    DEAD   11.0k   11.5k   12.2k
 346 | Pelops | A2                             |   891k |    9 |    DEAD    DEAD   11.0k   14.1k   12.2k
 347 | Skavag | (boss turn)                    |   859k |   10 |    DEAD    DEAD    DEAD   11.5k    3.7k
 348 | Sp127  | basic attack                   |   827k |   10 |    DEAD    DEAD    DEAD   11.5k    1.6k
 349 | Sp128  | basic attack                   |   795k |   10 |    DEAD    DEAD    DEAD   11.5k    DEAD
 350 | Sp129  | basic attack                   |   763k |   10 |    DEAD    DEAD    DEAD   10.4k    DEAD
 351 | Sp130  | basic attack                   |   731k |   10 |    DEAD    DEAD    DEAD    9.2k    DEAD
 352 | Sp131  | basic attack                   |   731k |   10 |    DEAD    DEAD    DEAD    8.0k    DEAD
 353 | Sp132  | basic attack                   |   731k |   10 |    DEAD    DEAD    DEAD    6.9k    DEAD
 354 | Sp124  | basic attack                   |   700k |   10 |    DEAD    DEAD    DEAD    5.7k    DEAD
 355 | Sp125  | basic attack                   |   668k |   10 |    DEAD    DEAD    DEAD    4.6k    DEAD
 356 | Sp126  | basic attack                   |   636k |   10 |    DEAD    DEAD    DEAD    3.4k    DEAD
 358 | Sp133  | basic attack                   |   636k |   10 |    DEAD    DEAD    DEAD    1.7k    DEAD
 359 | Sp127  | basic attack                   |   604k |   10 |    DEAD    DEAD    DEAD    1.7k    DEAD
 360 | Sp128  | basic attack                   |   572k |   10 |    DEAD    DEAD    DEAD    1.7k    DEAD
 361 | Sp129  | basic attack                   |   540k |   10 |    DEAD    DEAD    DEAD    1.7k    DEAD
 362 | Sp130  | basic attack                   |   508k |   10 |    DEAD    DEAD    DEAD    1.7k    DEAD
 363 | Sp131  | basic attack                   |   476k |   10 |    DEAD    DEAD    DEAD     724    DEAD
 364 | Sp132  | basic attack                   |   444k |   10 |    DEAD    DEAD    DEAD    DEAD    DEAD
